PROYECTO,TIPO DE PRODUCTO,SUBPRODUCTO,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,COLABORACION,DESCRIPCION,COLABORAC?N INTERNA,ALIADOS  SENECA,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,OTRAS INSTITUCIONES,TIPO DE RELACION,PROYECTO2,TIPO DE COMPROMISO,N£mero de autores,N£mero de autores S‚neca,N£mero de grupos involucrados,N£mero de grupos S‚neca involucrados,N£mero de InstitucIONes,N£mero de InstitucIONes S‚neca,DESCRIPCION PRODUCTO,ENLACE,Caso SSOFI,EstudIantes,Informe de reporte,titulo,Validado Colciencias,Autor 1,Inst Autor 1,Grupo Autor 1,Autor 2,Inst Autor 2,Grupo Autor 2,Autor 3,Inst Autor 3,Grupo Autor 3,Autor 4,Inst Autor 4,Grupo Autor 4,Autor 5,Inst Autor 5,Grupo Autor 5,Autor 6,Inst Autor 6,Grupo Autor 6,Autor 7,Inst Autor 7,Grupo Autor 7,Autor 8,Inst Autor 8,Grupo Autor 8,Autor 9,Inst Autor 9,Grupo Autor 9,Autor 10,Inst Autor 10,Grupo Autor 10,Autor 11,Inst Autor 11,Grupo Autor 11,Autor 12,Inst Autor 12,Grupo Autor 12,Autor 13,Inst Autor 13,Grupo Autor 13,Autor 14,Inst Autor 14,Grupo Autor 14,PublicacION,Factor impacto
PROY13,FORMACION_RH,VINCULACION DE ESTUDIONTE DE PREGRADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,,,,,,,,,,,,,,,,,OBLIGATORIO,,,,,,,SANTIAGO LOPEZ URREGO,,,,4,INGENIERIA ELECTRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY13,FORMACION_RH,VINCULACION DE ESTUDIONTE DE PREGRADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,,,,,,,,,,,,,,,,,OBLIGATORIO,,,,,,,SANTIAGO RIOS OLAYA,,,,4,INGENIERIA ELECTRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY13,FORMACION_RH,VINCULACION DE ESTUDIONTE DE PREGRADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,,,,,,,,,,,,,,,,,OBLIGATORIO,,,,,,,YESIKA ANDREA GUTIERREZ VILLA,,,,4,INGENIERIA ELECTRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY13,NUEVO_CONOCIMIONTO,ARTICULO A1,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,NINGUNA,,PROYECTO,,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,DOI: DOI.ORG/10.1016/J.DIB.2020.105375,,,,4,DATA FOR NUMERICAL SOLUTION OF CAPUTOS AND RIEMANN-LIOUVILLEES FRACTIONAL DIFFERENTIAL EQUATIONS,,BETANCUR LOPERA RAFAEL ANDRES,UNIVERSIDAD DE ANTIOQUIA,GIMEL,NICOLAS MUNOZ GALEANO,UNIVERSIDAD DE ANTIOQUIA,GIMEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATA IN BRIEF (ISSN 2352-3409),NA
PROY1,NUEVO_CONOCIMIONTO,ARTICULO A2,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,NINGUNA,,PROYECTO,,,,,,,,,,,,,TECNOLOGICO DE ANTIOQUIA,NINGUNA,,OBLIGATORIO,3,1,2,1,2,1,DOI: DOI.ORG/10.15282/JMES.13.4.2019.21.04,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1FZABHEYKGJCUHZZEEP37NTUZMPB-NIC9,,,3,DESION AND NUMERICAL ANALYSIS OF AN EFFICIONT H-DARRIEUS VERTICAL-AXIS HYDROKINETIC TURBINE,INFORME 3,RAMIREZ D,UNIVERSIDAD DE ANTIOQUIA,,AINHOA RUBIO CLEMENTE,UNIVERSIDAD DE ANTIOQUIA,,EDWIN LENIN CHICA ARRIETA,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOURNAL OF MECHANICAL ENGINEERING AND SCIENCES (JMES) (ISSN: 2231-8380),1.01
PROY12,NUEVO_CONOCIMIONTO,ARTICULO A1,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,OTROS ACTORES,UNIVERSIDAD DE UTAH,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,6,1,3,1,2,2,DOI.ORG/10.1016/J.COMBUSTFLAME.2019.12.018,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1ER_YNNAAKOEYRAACREE0B5RWHCZ5DE6A,,,4,CHARACTERIZATION OF RENEWABLE DIESEL PARTICULATE MATTER GATHERED FROM NON-PREMIXED AND PARTIALLY PREMIXED FLAME BURNERS AND FROM A DIESEL ENGINE,,MARLON CADRAZCO,UNIVERSIDAD DE ANTIOQUIA,FACULTAD DE INGENIERIA,ALEXANDER SANTAMARIA,UNIVERSIDAD DE ANTIOQUIA,FACULTAD DE INGENIERIA,I. CRISTINA JARAMILLO,UNIVERSITY OF UTAH,,KAMALJEET KAUR,UNIVERSITY OF UTAH,,K. E. KELLY,UNIVERSITY OF UTAH,,JOHN RAMIRO AGUDELO SANTAMARIA,UNIVERSIDAD DE ANTIOQUIA,FACULTAD DE INGENIERIA,,,,,,,,,,,,,,,,,,,,,,,,,COMBUSTION AND FLAME (ISSN 0010-2180),4.12
PROY8,NUEVO_CONOCIMIONTO,ARTICULO B,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,ADICIONAL,3,1,1,1,1,1,DX.DOI.ORG/10.4067/S0718-07642020000100215,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1H-Q2XG79UGR36OY3CKZY091UOMMVSGEI,,,4,EVALUACION DE T‚CNICAS DE PRETRATAMIONTO EN BUCHON DE AGUA (EICHHORNIA CRASSIPES) PARA LA PRODUCCION DE BIOETANOL,,KAREN OSPINO,UNIVERSIDAD DE ANTIOQUIA,FACULTAD DE INGENIERIA,ELKIN ANDRES GOMEZ MEJIA,UNIVERSIDAD DE ANTIOQUIA,FACULTAD DE INGENIERIA,LUIS ALBERTO RIOS,UNIVERSIDAD DE ANTIOQUIA,FACULTAD DE INGENIERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFORMACION TECNOLOGICA (ISSN 0718-0764),0.57
PROY10,NUEVO_CONOCIMIONTO,ARTICULO A1,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,3,1,1,1,1,1,"JOURNAL OF THERMAL SCIONCE AND ENGINEERING APPLICATIONS
DOI: 10.1115/1.4045021",,,,4,A NUMERICAL ANALYSIS OF THE EFFECT OF ATMOSPHERIC PRESSURE ON THE PERFORMANCE OF A HEATING SYSTEM WITH A SELF-RECUPERATIVE BURNER,,LOPEZ ZULUAGA YEFFERSON,UNIVERSIDAD DE ANTIOQUIA,GASURE,ALEX M. GARCIA VERGARA,UNIVERSIDAD DE ANTIOQUIA,GASURE,ANDRES AMELL ARRIETA,UNIVERSIDAD DE ANTIOQUIA,GASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOURNAL OF THERMAL SCIONCE AND ENGINEERING APPLICATIONS (EISSN: 1948-5093),1.1
PROY14,FORMACION_RH,VINCULACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,,,,,,,,,,,,,,,,OBLIGATORIO,,,,,,,JOHN BARCO,,,EN CURSO,3,DOCTORADO EN INGENIERIA - UNIVALLE (COTUTELA CON U. NARI¤O),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY14,DOCENCIA,CREACION DE CURSOS DE DOCTORADO,CREACION DE CURSOS DE MAESTRIA,CREACION DE CURSOS DE PREGRADO,CREACION DE MAESTRIA,CREACION DE DOCTORADO,CREACION DE CURSOS DE DOCTORADO,AUTOEVALUACION DE PROGRAMA DE PREGRADO,AUTOEVALUACION DE PROGRAMA DE MAESTRIA,AUTOEVALUACION DE PROGRAMA DE DOCTORADO,AUTOEVALUACION DE UNIVERSIDAD,,,,,,,,,NINGUNA,,PROYECTO,"UNIVERSIDAD DEL VALLE, UNIVERSIDAD DE NARI¤O",,,,,,,,,,,,,,,OBLIGATORIO,,,,,,,CURSO DE SMARTGRID PARA PROGRAMAS DE DOCTORADO Y MAESTRIA,HTTPS://DRIVE.GOOGLE.COM/FILE/D/1K8JHZZKSMVTBUTS_ODZUNORSFUYD58MB/VIEW?USP=SHARING,,,3,UNIVALLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY7,DOCENCIA,CREACION DE MAESTRIA,CREACION DE CURSOS DE MAESTRIA,CREACION DE CURSOS DE PREGRADO,CREACION DE MAESTRIA,CREACION DE DOCTORADO,CREACION DE CURSOS DE DOCTORADO,AUTOEVALUACION DE PROGRAMA DE PREGRADO,AUTOEVALUACION DE PROGRAMA DE MAESTRIA,AUTOEVALUACION DE PROGRAMA DE DOCTORADO,AUTOEVALUACION DE UNIVERSIDAD,,,,,,,,,NINGUNA,,PROGRAMA,UNIVERSIDAD DE CORDOBA,,,,,,,,,,,,,COLABORACION,,OBLIGATORIO,,,,,,,MAESTRIAEN INGENIERIA MECANICA,HTTPS://DRIVE.GOOGLE.COM/DRIVE/FOLDERS/1_PFUBZCXPNQGPG1VGLTL5ZCHOI_EU7ST?USP=SHARING,,,3,CREACION DE MAESTRIA EN INGENIERIA MECANICA U. CORDOBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY5,FORMACION_RH,VINCULACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DEL VALLE,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,JUAN CARLOS GUERRERO ORDONEZ,,,EN CURSO,4,DOCTORADO EN INGENIERIA - UNIVALLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY13,APROPIACION,PONENCIA,PONENCIA,EVENTO CIONTIFICO,CARTILLA,"CURSO DE CAPACITACION, SEMINARIO O TALLER",SOCIALIZACION DE RESULTADOS A ACTORES DEL SECTOR,ARTICULACION DE REDES DE CONOCIMIONTO,CIRCULACION DE CONOCIMIONTO ESPECIALIZADO - BOLETINES,,,,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,4,4,1,1,1,1,2019 IEEE WORKSHOP ON POWER ELECTRONICS AND POWER QUALITY APPLICATIONS (PEPQA),HTTPS://DRIVE.GOOGLE.COM/FILE/D/1KI9D-UD6FP1CHQZH0AYQS6T-7D94AY4Q/VIEW?USP=SHARING,,,4,"PROGRAMMABLE ELECTRONIC AC LOADS: A REVIEW ON
HARDWARE TOPOLOGIES",,LEON FELIPE SERNA MONTOYA,UNIVERSIDAD DE ANTIOQUIA,GIMEL,JUAN BERNARDO CANO QUINTERO,UNIVERSIDAD DE ANTIOQUIA,GIMEL,NICOLAS MUNOZ GALEANO,UNIVERSIDAD DE ANTIOQUIA,GIMEL,JESUS MARIA LOPEZ LEZAMA,UNIVERSIDAD DE ANTIOQUIA,GIMEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY13,NUEVO_CONOCIMIONTO,CAPITULO DE LIBRO A1,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,ADICIONAL,3,3,1,1,1,1,DOI: 10.5772/INTECHOPEN.88830,HTTPS://DRIVE.GOOGLE.COM/FILE/D/1B4UABDAZ5JU85YOIFZ17UKKXR_0P6P9B/VIEW?USP=SHARING,,,4,"METHODOLOGY FOR SIZING HYBRID
BATTERY-BACKED POWER GENERATION
SYSTEMS IN OFF-GRID AREAS",,OSWALDO A. ARRAEZ CANCELLIERE,UNIVERSIDAD DE ANTIOQUIA,GIMEL,NICOLAS MUNOZ GALEANO,UNIVERSIDAD DE ANTIOQUIA,GIMEL,JESUS MARIA LOPEZ LEZAMA,UNIVERSIDAD DE ANTIOQUIA,GIMEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY13,APROPIACION,EVENTO CIONTIFICO,PONENCIA,EVENTO CIONTIFICO,CARTILLA,"CURSO DE CAPACITACION, SEMINARIO O TALLER",SOCIALIZACION DE RESULTADOS A ACTORES DEL SECTOR,ARTICULACION DE REDES DE CONOCIMIONTO,CIRCULACION DE CONOCIMIONTO ESPECIALIZADO - BOLETINES,,,,,,,,,,,NINGUNA,,PROGRAMA,TODOS LOS ALIADOS,,,,,,,,,,,,,COLABORACION,TODOS,OBLIGATORIO,,,,,,,PRIMER ENCUENTRO S‚NECA - OCTUBRE 2019,HTTPS://DRIVE.GOOGLE.COM/FILE/D/1YIP7MR78S91CXHUEBDUVS7LQZZILXTPP/VIEW?USP=SHARING,,,4,MEMORIAS DEL PRIMER ENCUENTRO SENECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY14,FORMACION_RH,PASANTIA INTERNACIONAL,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,OTROS ACTORES,"INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS - CUERMAVACA, M‚XICO",PROYECTO,,,,,,,,,,,,,,NINGUNA,,ADICIONAL,,,,,,,RICARDO ANDR‚S ECHEVERRY MARTINEZ - PASANTIA EN M‚XICO,HTTPS://DRIVE.GOOGLE.COM/FILE/D/1KCVW88V6BP696ELJENHOFOW_SZZYB_O9/VIEW?USP=SHARING,,,4,PASANTIA EN MEXICO DE RICARDO ECHEVERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY14,APROPIACION,EVENTO CIONTIFICO,PONENCIA,EVENTO CIONTIFICO,CARTILLA,"CURSO DE CAPACITACION, SEMINARIO O TALLER",SOCIALIZACION DE RESULTADOS A ACTORES DEL SECTOR,ARTICULACION DE REDES DE CONOCIMIONTO,CIRCULACION DE CONOCIMIONTO ESPECIALIZADO - BOLETINES,,,,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DEL VALLE,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,"ORGANIZACION DE EVENTOS: WEBINAR: DISE¤O, PLANEACION Y OPERACION OPTIMA DE UNA MATRIZ ENERGETICA
REGIONAL PARA LA INTEGRACION DE ENERGIAS LIMPIAS. CASO DE ESTUDIO:
PENINSULA DE YUCATAN - MEXICO.",HTTPS://DRIVE.GOOGLE.COM/FILE/D/1HASBEA6F2YWL5Z3Y6PD6APWXM47DFNZM/VIEW?USP=SHARING,,,4,"DISENO, PLANEACION Y OPERACION OPTIMA DE UNA MATRIZ ENERGETICA REGIONAL PARA LA INTEGRACION DE ENERGIAS LIMPIAS. CASO DE ESTUDIO: PENINSULA DE YUCAT N - M‚XICO. -  RICARDO ECHEVERRI",,RICARDO ANDRES ECHEVERRY MARTINEZ,UNIVERSIDAD DEL VALLE,ESCUELA DE INGENIERIA ELECTRICA Y ELECTRONICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY14,NUEVO_CONOCIMIONTO,ARTICULO A2,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,NINGUNA,,PROYECTO,UNIVERSIDAD DEL VALLE,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,4,4,1,1,1,1,HTTPS://DOI.ORG/10.32479/IJEEP.9343,HTTPS://DRIVE.GOOGLE.COM/FILE/D/1F4FTAIMM0LQ3ISVBMVPQJLHKVSSQZUHD/VIEW?USP=SHARING,,,4,"A BI-LEVEL MULTI-OBJECTIVE OPTIMIZATION MODEL FOR THE PLANNING, DESION AND OPERATION OF SMART GRID PROJECTS. CASE STUDY: AN ISLANDED MICROGRID",,RICARDO ANDRES ECHEVERRY MARTINEZ,UNIVERSIDAD DEL VALLE,ESCUELA DE INGENIERIA ELECTRICA Y ELECTRONICA,EDUARDO FRANCISCO CAICEDO BRAVO,UNIVERSIDAD DEL VALLE,ESCUELA DE INGENIERIA ELECTRICA Y ELECTRONICA,WILFREDO ALFONSO MORALES,UNIVERSIDAD DEL VALLE,ESCUELA DE INGENIERIA ELECTRICA Y ELECTRONICA,JUAN DAVID GARCIA RACINES,UNIVERSIDAD DEL VALLE,ESCUELA DE INGENIERIA ELECTRICA Y ELECTRONICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTERNATIONAL JOURNAL OF ENERGY ECONOMICS AND POLICY (ISSN: 2146-4553),1.87
PROY14,NUEVO_CONOCIMIONTO,ARTICULO A2,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,OTROS ACTORES,"INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS - CUERMAVACA, M‚XICO
UNIVERSIDAD DE MORELOS",PROYECTO,UNIVERSIDAD DEL VALLE,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,6,2,3,1,3,1,"OPTIMAL PLANNING, DESION AND OPERATION OF A 
REGIONAL ENERGY MIX USING RENEWABLE 
GENERATION. 
STUDY CASE: YUCATAN PENINSULA",HTTPS://DRIVE.GOOGLE.COM/FILE/D/1T75IBDXAEC534QHQOMSPSGEOZVUBIJKI/VIEW?USP=SHARING,,,4,"OPTIMAL PLANNING, DESION AND OPERATION OF A 
REGIONAL ENERGY MIX USING RENEWABLE 
GENERATION. 
STUDY CASE: YUCATAN PENINSULA",,RICARDO ANDRES ECHEVERRY MARTINEZ,UNIVERSIDAD DEL VALLE,ESCUELA DE INGENIERIA ELECTRICA Y ELECTRONICA,BENJAMIN EDDIE ZAYAS PEREZ,INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS,,ALFREDO ESPINOSA REZA,INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS,,ANTONIO RODRIGUEZ,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,,EDUARDO FRANCISCO CAICEDO BRAVO,UNIVERSIDAD DEL VALLE,ESCUELA DE INGENIERIA ELECTRICA Y ELECTRONICA,WILFREDO ALFONSO MORALES,UNIVERSIDAD DEL VALLE,ESCUELA DE INGENIERIA ELECTRICA Y ELECTRONICA,,,,,,,,,,,,,,,,,,,,,,,,,INTERNATIONAL JOURNAL OF SUSTAINABLE ENERGY (ISSN: 1478-646X),2.02
PROY14,DOCENCIA,CREACION DE CURSOS DE MAESTRIA,CREACION DE CURSOS DE MAESTRIA,CREACION DE CURSOS DE PREGRADO,CREACION DE MAESTRIA,CREACION DE DOCTORADO,CREACION DE CURSOS DE DOCTORADO,AUTOEVALUACION DE PROGRAMA DE PREGRADO,AUTOEVALUACION DE PROGRAMA DE MAESTRIA,AUTOEVALUACION DE PROGRAMA DE DOCTORADO,AUTOEVALUACION DE UNIVERSIDAD,,,,,,,,,NINGUNA,,PROYECTO,"UNIVERSIDAD DEL VALLE, UNIVERSIDAD DE NARI¤O",,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,CURSO DE MICRORREDES,HTTPS://DRIVE.GOOGLE.COM/FILE/D/15XYSOEDGDXOX7BWG_9_IHBJBHWZK7EB1/VIEW?USP=SHARING,,,4,CURSO DE MICRORREDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY12,APROPIACION,PONENCIA,PONENCIA,EVENTO CIONTIFICO,CARTILLA,"CURSO DE CAPACITACION, SEMINARIO O TALLER",SOCIALIZACION DE RESULTADOS A ACTORES DEL SECTOR,ARTICULACION DE REDES DE CONOCIMIONTO,CIRCULACION DE CONOCIMIONTO ESPECIALIZADO - BOLETINES,,,,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,3,3,2,2,1,1,2019 CONGRESO COLOMBIANO Y CONFERENCIA INTERNACIONAL DE CALIDAD DE AIRE Y SALUD P£BLICA (CASP) / 17TH INTERNATIONAL CONFERENCE ON CHEMISTRY AND THE ENVIRONMENT ? ICCE2019,HTTPS://DRIVE.GOOGLE.COM/FILE/D/1KNT2ZJWHDZEQSIFCAVPGZYCT6C_G14MM/VIEW?USP=SHARING,,,4,"EVALUACION DE LAS EMISIONES DE HIDROCARBUROS
AROM TICOS POLICICLICOS (HAP) EN FASE PARTICULA
PROVENIONTES DE MEZCLAS DIESEL/BIODIESEL DE PALMA",,SILVANA ARIAS ARIAS,UNIVERSIDAD DE ANTIOQUIA,GAIA,JOHN RAMIRO AGUDELO SANTAMARIA,UNIVERSIDAD DE ANTIOQUIA,GIMEL,FRANCISCO JOSE MOLINA PEREZ,UNIVERSIDAD DE ANTIOQUIA,GAIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
